Team,Player name,Opponent,Win_Loss,MIN,PTS,FGM,FGA,FG,PM3,PA3,P3,Assists,Steals,Blocks
Sacramento Kings (SAC),Buddy Hield,LAL,W,26,28,10,17,58.8,8,14,57.1,2,2,0
Sacramento Kings (SAC),Buddy Hield,NOP,W,19,11,4,5,80,3,4,75,3,0,0
Sacramento Kings (SAC),Buddy Hield,HOU,L,25,16,6,11,54.5,4,9,44.4,2,0,0
Sacramento Kings (SAC),Buddy Hield,BKN,L,20,17,6,16,37.5,3,10,30,0,0,0
Sacramento Kings (SAC),Yogi Ferrell,LAL,W,20,11,4,7,57.1,2,4,50,2,3,0
Sacramento Kings (SAC),Yogi Ferrell,NOP,W,11,6,3,5,60,0,1,0,2,0,0
Sacramento Kings (SAC),Yogi Ferrell,HOU,L,4,8,2,3,66.7,1,2,50,1,0,0
Sacramento Kings (SAC),Yogi Ferrell,BKN,L,3,3,1,1,100,1,1,100,2,0,0
Sacramento Kings (SAC),Bogdan Bogdanovic,LAL,W,27,27,11,23,47.8,5,11,45.5,9,2,0
Sacramento Kings (SAC),Bogdan Bogdanovic,NOP,W,38,16,7,10,70,1,2,50,7,2,0
Sacramento Kings (SAC),Bogdan Bogdanovic,HOU,L,36,13,5,12,41.7,2,8,25,8,1,1
Sacramento Kings (SAC),Bogdan Bogdanovic,BKN,L,34,27,11,19,57.9,4,8,50,2,0,0
Sacramento Kings (SAC),Cory Joseph,LAL,W,20,13,5,6,83.3,3,3,100,2,1,0
Sacramento Kings (SAC),Cory Joseph,NOP,W,37,8,1,9,11.1,0,5,0,6,0,0
Sacramento Kings (SAC),Cory Joseph,HOU,L,28,4,1,4,25,0,2,0,2,2,0
Sacramento Kings (SAC),Cory Joseph,BKN,L,25,4,2,6,33.3,0,3,0,1,1,0
Sacramento Kings (SAC),DaQuan Jeffries,LAL,W,26,7,3,7,42.9,1,3,33.3,0,1,0
Sacramento Kings (SAC),DaQuan Jeffries,NOP,W,14,3,1,5,20,0,1,0,0,0,0
Sacramento Kings (SAC),DaQuan Jeffries,HOU,L,30,13,5,8,62.5,1,3,33.3,2,1,0
Sacramento Kings (SAC),DaQuan Jeffries,BKN,L,25,2,1,5,20,0,4,0,1,0,0
New Orleans Pelicans (NOP),Derrick Favors,SAC,L,22,6,3,4,75,0,0,0,1,0,0
New Orleans Pelicans (NOP),Derrick Favors,LAL,L,28,12,5,12,41.7,0,0,0,0,1,1
New Orleans Pelicans (NOP),Derrick Favors,HOU,L,19,4,2,5,40,0,1,0,2,1,0
New Orleans Pelicans (NOP),Derrick Favors,BKN,L,21,7,3,7,42.9,0,0,0,3,0,3
New Orleans Pelicans (NOP),Brandon Ingram,SAC,L,33,24,8,14,57.1,3,4,75,3,1,0
New Orleans Pelicans (NOP),Brandon Ingram,LAL,L,39,15,5,23,21.7,1,9,11.1,2,1,0
New Orleans Pelicans (NOP),Brandon Ingram,HOU,L,38,35,14,22,63.6,4,7,57.1,5,0,0
New Orleans Pelicans (NOP),Brandon Ingram,BKN,L,41,22,7,23,30.4,1,5,20,1,0,2
New Orleans Pelicans (NOP),Zion Williamson,SAC,L,21,24,10,12,83.3,0,0,0,2,0,0
New Orleans Pelicans (NOP),Zion Williamson,LAL,L,33,35,12,16,75,0,0,0,0,0,0
New Orleans Pelicans (NOP),Zion Williamson,HOU,L,32,2,1,4,25,0,2,0,3,2,0
New Orleans Pelicans (NOP),Zion Williamson,BKN,L,26,3,1,8,12.5,1,6,16.7,0,1,0
New Orleans Pelicans (NOP),Jrue Holiday,SAC,L,29,17,7,10,70,2,4,50,5,1,1
New Orleans Pelicans (NOP),Jrue Holiday,LAL,L,38,11,4,10,40,2,5,40,6,1,0
New Orleans Pelicans (NOP),Jrue Holiday,HOU,L,33,23,8,17,47.1,5,12,41.7,1,2,1
New Orleans Pelicans (NOP),Jrue Holiday,BKN,L,37,21,9,28,32.1,2,7,28.6,6,1,2
New Orleans Pelicans (NOP),Lonzo Ball,SAC,L,31,9,4,7,57.1,1,4,25,11,1,1
New Orleans Pelicans (NOP),Lonzo Ball,LAL,L,37,19,7,15,46.7,1,7,14.3,9,3,1
New Orleans Pelicans (NOP),Lonzo Ball,HOU,L,35,18,6,13,46.2,4,9,44.4,10,3,0
New Orleans Pelicans (NOP),Lonzo Ball,BKN,L,35,10,4,13,30.8,1,5,20,4,0,0
Los Angeles Lakers (LAL),LeBron James,SAC,W,38,29,10,20,50,2,7,28.6,11,3,0
Los Angeles Lakers (LAL),LeBron James,NOP,W,37,29,10,18,55.6,2,6,33.3,11,2,1
